番号,名前,旧合計,新合計,HP,アタック,ブロック,マジック,バリア,スピード
1,リーフィン,318,277,39,43,43,57,56,39
2,リーフォード,405,353,52,54,55,70,70,52
3,フォレスタ,525,458,70,72,72,87,87,70
4,ヒノコマ,319,278,34,45,38,52,52,57
5,ボウエン,420,366,50,56,50,70,70,70
6,エンブレイズ,558,487,68,74,68,95,95,87
7,アワミィ,328,286,38,42,57,56,56,37
8,ウズマリン,420,366,51,55,70,70,70,50
9,タイダルオ,550,480,69,72,87,92,92,68
10,ヒノマシ,243,212,26,49,30,22,22,63
11,エンラセツ,393,343,48,71,52,44,43,85
12,トリッピ,251,219,35,39,35,31,30,49
13,ソラハネ,379,331,55,61,48,44,44,79
14,ムシコロ,195,170,39,26,31,18,17,39
15,ギガビート,465,406,57,114,70,39,39,87
16,ピリット,335,292,35,35,35,61,61,65
17,ピピピット,480,419,52,57,52,83,83,92
18,ツチノコ,265,231,44,52,48,26,26,35
19,ドリルモグ,395,344,61,83,70,39,39,52
20,ガルウィング,320,279,52,70,87,26,26,18
21,ヨルネコ,340,297,39,53,39,48,48,70
22,シャドネコ,505,440,61,87,57,78,61,96
23,ヌシガエル,540,471,91,83,83,83,83,48
24,タネコロ,267,233,50,35,48,35,48,17
25,ツルマキ,371,324,62,52,66,52,66,26
26,ジャングド,481,419,70,70,87,70,87,35
27,ハナビィ,255,222,44,22,35,52,43,26
28,フラワン,367,320,61,31,48,78,65,37
29,ブルームナ,480,419,78,44,61,105,84,47
30,キノコン,356,310,50,48,77,54,54,27
31,マイタケン,455,397,69,62,100,65,64,37
32,キノガミ,600,523,137,91,88,78,78,51
33,ウリボン,366,319,44,77,51,45,45,57
34,ドスウリ,518,452,68,112,66,62,62,82
35,コケゴロ,600,523,105,113,105,52,113,35
36,コケトロッコ,545,475,79,69,129,78,78,42
37,スナボンネ,486,424,65,99,68,60,60,72
38,カエデリア,484,422,60,81,49,62,62,108
39,ネムノハ,489,426,115,77,70,63,63,38
40,ボヤッコ,405,353,42,39,52,85,85,50
41,メラボヤ,528,460,55,55,66,106,105,73
42,バクエンオ,655,571,69,61,76,138,137,90
43,ワンヒノ,361,315,39,59,38,46,45,88
44,ホノワン,462,403,59,80,46,59,59,100
45,グレンケン,575,501,71,125,77,71,71,86
46,タキビィ,411,358,47,43,45,86,85,52
